route_id,normalized_corridor_id,historic_daily_vehicle_km_proxy,ml_service_intensity_prediction,ml_service_intensity_residual,ml_service_intensity_anomaly_flag,ml_prediction_source,ml_prediction_claim_status,ml_model_version,ml_model_meaningful_vs_baseline,ml_service_intensity_used
LTFRB_PUJ1062,ayala__mantrade,3410.88,3454.068,-43.1880000000001,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1063,ayala__washington,2643.84,2734.719,-90.8789999999999,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1064,ayala__washington,2642.82,2734.719,-91.89899999999989,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1065,baclaran__bacoor,11850.36,11790.895,59.465000000000146,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1066,baclaran__bacoor,12048.24,11996.356,51.884000000000015,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1067,baclaran__mia-baltao,3366.0,3516.328,-150.32799999999997,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1068,baclaran__mia-baltao,3598.56,3610.759,-12.19900000000007,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1069,baclaran__nichols,2619.36,2684.435,-65.07499999999982,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1070,baclaran__nichols,5858.88,5847.809,11.070999999999913,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1071,baclaran__blumentritt,11651.46,11687.257,-35.79700000000048,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1072,baclaran__blumentritt,12059.46,12053.778,5.6819999999988795,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1073,baclaran__blumentritt,11631.06,11557.68,73.3799999999992,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1074,baclaran__blumentritt,11210.82,11269.178,-58.358000000000175,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1075,baclaran__blumentritt,11772.84,11806.069,-33.22899999999936,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1076,baclaran__blumentritt,11891.16,11897.148,-5.987999999999374,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1077,baclaran__blumentritt,10659.0,10800.481,-141.48099999999977,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1078,baclaran__blumentritt,11288.34,11207.105,81.23500000000058,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1079,baclaran__dapitan,12168.6,12159.055,9.545000000000073,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1080,baclaran__dapitan,12224.7,12322.057,-97.35699999999997,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1081,baclaran__divisoria,9042.3,8801.714,240.58599999999933,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1083,baclaran__moonwalk,14540.1,14371.952,168.14800000000105,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1084,baclaran__moonwalk,14739.0,14635.51,103.48999999999978,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1085,baclaran__p-campa,9661.44,9649.317,12.123000000001412,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1086,baclaran__p-campa,9834.84,9750.922,83.91799999999967,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1087,baclaran__p-campa,9543.12,9622.009,-78.88899999999921,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1088,baclaran__p-campa,11013.96,10702.079,311.8809999999994,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1089,baclaran__q-i,12183.9,12137.481,46.41899999999987,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1090,baclaran__q-i,12280.8,12312.965,-32.16500000000087,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1091,baclaran__retiro,11672.88,11665.945,6.934999999999491,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1094,baclaran__retiro,11849.34,11823.673,25.66699999999946,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1095,baclaran__sucat-ssh,13980.12,14014.242,-34.12199999999939,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1096,baclaran__sucat-ssh,13980.12,14014.242,-34.12199999999939,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1097,baclaran__sucat-ssh,13651.68,13593.869,57.810999999999694,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1098,baclaran__sucat-ssh,13958.7,13883.347,75.35300000000097,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1099,baclaran__zapote-las-pinas,8753.640000000001,8652.534,101.10600000000159,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1100,baclaran__zapote-las-pinas,8876.039999999999,8849.012,27.02799999999843,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1101,asa-subd__baclaran__bahayang-pag,18771.06,19081.507,-310.4470000000001,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1102,asa-subd__baclaran__bahayang-pag,18837.36,18869.901,-32.54100000000108,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1103,bacood__r-magsaysay-old-sta-mesa,2699.94,2659.752,40.1880000000001,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1104,bacood__r-magsaysay-old-sta-mesa,2268.48,2374.087,-105.60699999999997,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1105,bagong-barrio__g-de-jesus-edsa,1619.76,1721.127,-101.36699999999996,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1106,bagong-barrio__g-de-jesus-edsa,1833.96,1885.039,-51.07899999999995,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1107,bagong-nayon-ii__marikina-town,12541.92,12487.482,54.4380000000001,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1108,bagong-nayon-ii__marikina-town,13915.86,13826.429,89.4310000000005,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1109,bagumbayan-taguig__pasig-tp,12826.5,12811.703,14.79700000000048,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1110,bagumbayan-taguig__pasig-tp,12731.64,12779.702,-48.0619999999999,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1111,brgy-bagong-silangan__marcos-rd,5006.160000000001,5040.156,-33.995999999999185,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1112,brgy-bagong-silangan__marcos-rd,5838.4800000000005,5801.673,36.8070000000007,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1113,bagumbayan-taguig__sucat,1493.28,1391.18,102.09999999999991,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1114,bagumbayan-taguig__sucat,3669.96,4028.994,-359.0340000000001,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1116,bagong-silang__novaliches-tp,7424.58,7677.072,-252.4920000000002,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1117,bagong-silang__robinson-s-fairview,7479.66,7324.689,154.97099999999955,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1118,bagong-silang__robinson-s-fairview,9372.78,9249.305,123.47500000000036,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1121,balic__balic__bustillos,2624.46,2632.352,-7.891999999999825,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1122,balic__balic__bustillos,3607.74,3683.749,-76.00900000000001,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1123,balic__balic__espana-m-dela-fuente,2961.06,2973.535,-12.474999999999909,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1124,balic__balic__espana-m-dela-fuente,2384.76,2338.164,46.596000000000004,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1125,balic__balic__quiapo-barbosa,4386.0,4188.029,197.97099999999955,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
