agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_id,mode_context
LTFRB,,Alabang-SM Fairview via Lagro Commonwealth,"Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",3,,,,LTFRB_PUB1103,bus
LTFRB,,Alabang Muntinlupa-Lawton via SSH Taft Ave,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - Magallanes Dr, Manila",3,,,,LTFRB_PUB1104,bus
LTFRB,,Alabang Muntinlupa-Lawton via SSH Taft Ave,"Taft Ave, Manila - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",3,,,,LTFRB_PUB1105,bus
LTFRB,,Antipolo-Divisoria via Shaw Blvd,"P. Oliveros St, Antipolo City, Manila - Sto. Cristo / Claro M. Recto Ave Intersection, Manila",3,,,,LTFRB_PUB1106,bus
LTFRB,,Antipolo-Divisoria via Shaw Blvd,"Sto. Cristo / Claro M. Recto Ave Intersection, Manila - P. Oliveros St, Antipolo City, Manila",3,,,,LTFRB_PUB1107,bus
LTFRB,,"Asturias-Ayala via Buendia Ave, Taft Ave","Makati Ave / Ayala Avenue Intersection, Makati City, Manila - President Quirino Ave / Angel Linao Intersection, Manila",3,,,,LTFRB_PUB1108,bus
LTFRB,,"Asturias-Ayala via Buendia Ave, Taft Ave","South Luzon Expressway, Makati City, Manila - Makati Ave / Ayala Avenue Intersection, Makati City, Manila",3,,,,LTFRB_PUB1109,bus
LTFRB,,Ayala Ave-Ft Boni StaffHouse via Mckinly,"McKinley Pkwy / 9th Ave Intersection, Taguig City, Manila - Epifanio de los Santos Avenue / McKinley Rd Intersection, Makati City, Manila",3,,,,LTFRB_PUB1110,bus
LTFRB,,Baclaran - Grotto via Commonwealth Ave,"Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte",3,,,,LTFRB_PUB1111,bus
LTFRB,,Baclaran - Grotto via Commonwealth Ave,"Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - Roxas Blvd, Parañaque City, Manila",3,,,,LTFRB_PUB1112,bus
LTFRB,,Baclaran - Minuyan via Commonwealth Ave,"Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Quirino Highway, City of San Jose del Monte",3,,,,LTFRB_PUB1113,bus
LTFRB,,Baclaran - Minuyan via Commonwealth Ave,"Quirino Highway, City of San Jose del Monte - Roxas Blvd, Parañaque City, Manila",3,,,,LTFRB_PUB1114,bus
LTFRB,,Baclaran - Montalban via EDSA,"MALTC Bus Station, Gen. A Luna, San Mateo - Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila",3,,FFFFFF,,LTFRB_PUB1116,bus
LTFRB,,Baclaran-BgSilang via Edsa Commonwealth,"Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Green Construction Supply, Langit Road, Caloocan City",3,,FFFFFF,,LTFRB_PUB1117,bus
LTFRB,,Baclaran-BgSilang via Edsa Commonwealth,"Green Construction Supply, Langit Road, Caloocan City - Roxas Blvd, Parañaque City, Manila",3,,FFFFFF,,LTFRB_PUB1118,bus
LTFRB,,Alabang - Navotas Terminal via EDSA,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City",3,,FFFFFF,,LTFRB_PUB1119,bus
LTFRB,,"Baclaran-Malanday via Edsa, McArthur","Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City",3,,FFFFFF,,LTFRB_PUB1120,bus
LTFRB,,"Baclaran-Malanday via Edsa, McArthur","Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City - Roxas Blvd, Parañaque City, Manila",3,,FFFFFF,,LTFRB_PUB1121,bus
LTFRB,,"Baclaran-Malanday viaEDSA, McArthur, Ayala","Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - C.P. Enerton Fuel Station, MacArthur Highway, Valenzuela City, Philippines",3,,FFFFFF,,LTFRB_PUB1122,bus
