agency_id,route_long_name,representative_route_id,route_ids,direction_count,route_desc,bidirectional_pair_flag
LTFRB,"Pacita Complex (SP, Lag) - Letre via EDSA",LTFRB_PUB1175,LTFRB_PUB1175|LTFRB_PUB1176,2,"Pacita Bus Terminal,  Pacita Av, San Pedro, Manila - Circimferential Road 4, Malabon City",True
LTFRB,Pacita Complex - Navotas Term via EDSA,LTFRB_PUB1180,LTFRB_PUB1180,1,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila - Pacita Bus Terminal,  Pacita Av, San Pedro, Manila",False
LTFRB,Pacita Complex - SM Fairview via EDSA,LTFRB_PUB1177,LTFRB_PUB1177|LTFRB_PUB1178,2,"Plaza Pacita Bus Terminal, National Highway / Pacita Av, San Pedro, Manila - Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila",True
LTFRB,Paco - Pier South,LTFRB_PUJ1510,LTFRB_PUJ1510|LTFRB_PUJ1511,2,"Angel Linao / Pedro Gil - Railroad Dr / 13th St Intersection, Manila",True
LTFRB,Paco - Sta. Mesa Rotonda via Nagtahan,LTFRB_PUJ1512,LTFRB_PUJ1512|LTFRB_PUJ1513,2,"San Gregorio / Paz St, Manila - Nagtahan Flyover / Duhat Intersection, Manila",True
LTFRB,Padre Faura - Sta Ana,LTFRB_PUJ1388,LTFRB_PUJ1388|LTFRB_PUJ1389,2,"Marcelo H. del Pilar / Salas Intersection, Manila - New Panaderos / Castañeda Intersection, Manila",True
LTFRB,PagAsa Pier South via Qave,LTFRB_PUJ2376,LTFRB_PUJ2376|LTFRB_PUJ2377,2,"Padre Burgos St, Manila - Mindanao Avenue, Quezon City",True
LTFRB,Pala - pala Dasmarinas Cavite - Navotas Terminal via Edsa,LTFRB_PUB1183,LTFRB_PUB1183|LTFRB_PUB1184,2,"Governor's Dv, Dasmariñas City, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",True
LTFRB,Pandacan (Beata) - Quiapo via C. Palanca,LTFRB_PUB1185,LTFRB_PUB1185|LTFRB_PUB1186,2,"Lorenzo Dela Paz / Baretto Intersection, Manila - Padre Burgos St, Manila",True
LTFRB,Pandacan Pier South,LTFRB_PUJ2378,LTFRB_PUJ2378|LTFRB_PUJ2379,2,Angel Linao / Pedro Gil - Bonifacio Dr Manila,True
LTFRB,Pandacan Quiapo,LTFRB_PUB1053,LTFRB_PUB1053|LTFRB_PUB1054,2,"Beata, Manila - McArthur Bridge , Manila",True
LTFRB,Pandacan Sta Cruz via Quiapo,LTFRB_PUB1055,LTFRB_PUB1055|LTFRB_PUB1056,2,"Beata, Manila - McArthur Bridge , Manila",True
LTFRB,"Pantranco - Proj. 2 & 3 via Timog, Kamuning",LTFRB_PUJ1514,LTFRB_PUJ1514|LTFRB_PUJ1515,2,"Hayundai, Quezon Avenue, Quezon City - Molave, Quezon City, Manila",True
LTFRB,Pantranco - Proj. 8 via Roosevelt,LTFRB_PUJ1516,LTFRB_PUJ1516|LTFRB_PUJ1517,2,"Philipine Maritime Institute, Roosevelt Avenue, Quezon City - General Avenue / Assistant Branchesntersection, Quezon City",True
LTFRB,Pantranco - U.P.,LTFRB_PUJ1518,LTFRB_PUJ1518|LTFRB_PUJ1519,2,"Fisher Mall, Quezon Avenue, Quezon City - UP College of Education, A. Ma. Regidor St / Roxas Ave Intersection, Quezon City, Manila",True
LTFRB,Parang - Recto,LTFRB_PUJ1520,LTFRB_PUJ1520|LTFRB_PUJ1521,2,"Eulogio Rodriguez Sr. Ave, Quezon City, Manila - Fortune Tobacco Corporation, Marikina City, Manila",True
LTFRB,Parang - Stop & Shop via Aurora Blvd.,LTFRB_PUJ1522,LTFRB_PUJ1522|LTFRB_PUJ1523,2,"Internet Cafe, Old Sta. Mesa, Manila - Fortune Tobacco Corporation, Marikina City, Manila",True
LTFRB,Pasay RTDA Monumento via Taft Ave JA Santos,LTFRB_PUJ2380,LTFRB_PUJ2380|LTFRB_PUJ2381,2,"Taft Ave, Lungsod ng Pasay - Light Rail Transportation / New Antipolo, Quezon City",True
LTFRB,Pasay RTDA QI via L Guinto,LTFRB_PUJ2382,LTFRB_PUJ2382|LTFRB_PUJ2383,2,"Taft Ave, Lungsod ng Pasay - Taft Ave, Manila",True
LTFRB,Pasay RTDA Sucat via SSH,LTFRB_PUJ2384,LTFRB_PUJ2384|LTFRB_PUJ2385,2,"E Service Rd,  Taguig City, Manila - Epifanio de los Santos Avenue, Lungsod ng Pasay",True
LTFRB,Pasay Rotonda - Signal Village,LTFRB_PUJ1524,LTFRB_PUJ1524|LTFRB_PUJ1525,2,"DBP Ave, Taguig City, Manila, Manila - Epifanio de los Santos Avenue, Lungsod ng Pasay",True
LTFRB,Pasay Rtda v Sta Cruz Blumentrit,LTFRB_PUJ2251,LTFRB_PUJ2251|LTFRB_PUJ2252,2,"Hospital, A.Mabini, Manila - Light Rail Transportation / New Antipolo, Quezon City",True
LTFRB,"Pasig (TP) - Quiapo (Echague) via Sta. Mesa, C. Palanca",LTFRB_PUJ1526,LTFRB_PUJ1526|LTFRB_PUJ1527,2,"M. Almeda, Pateros, Manila - Carlos Palanca Sr, Manila",True
LTFRB,"Pasig - Taguig via Maestrang Pinang, Tipas",LTFRB_PUJ1528,LTFRB_PUJ1528|LTFRB_PUJ1529,2,"F.Manalo / Gen. A Luna St Intersection, Taguig City, Manila - Caruncho Ave, Pasig City, Manila",True
LTFRB,Pasig-Cubao,LTFRB_PUJ2579,LTFRB_PUJ2579,1,"Ortigas Ave, Pagis City, Manila - General Romulo Ave / Aurora Blvd Intersection, Quezon City, Manila",False
LTFRB,Pasig-Quiapo via Sta Mesa,LTFRB_PUJ2581,LTFRB_PUJ2581|LTFRB_PUJ2582,2,"Balderama / Caruncho Ave, Pasig City, Manila - Quezon Blvd, Manila",True
LTFRB,Pasig-Stop Shop,LTFRB_PUJ2583,LTFRB_PUJ2583|LTFRB_PUJ2584,2,"Balderama / Caruncho Ave, Pasig City, Manila - P. Casal, Manila",True
LTFRB,Pasig-Taytay,LTFRB_PUJ2585,LTFRB_PUJ2585|LTFRB_PUJ2586,2,"Rizal Avenue, Taytay, Manila - Caruncho Ave / Market Ave Intersection, Pasig City, Manila",True
