route_id,route_long_name,length_km,trips_per_day_estimate,daily_vehicle_km_proxy,emissions_potential_score,emissions_source,emissions_confidence
LTFRB_PUJ1980,DAPITAN - P CAMPA ANDALUCIA,3.525,1020.0,3595.5,10.06,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1981,DAPITAN - P CAMPA ANDALUCIA,3.423,1020.0,3491.46,9.73,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1982,CUBAO KALAYAAN - SM LAGRO,17.92,1020.0,18278.4,56.29,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1983,CUBAO KALAYAAN - SM LAGRO,19.543,1020.0,19933.86,61.5,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1984,CUBAO KALAYAAN - FAIRVIEW,12.329,1020.0,12575.58,38.33,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1985,CUBAO KALAYAAN - FAIRVIEW,12.861,1020.0,13118.220000000001,40.04,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1986,CUBAO - WELCOME ROTONDA,5.475,1020.0,5584.5,16.32,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1987,CUBAO - WELCOME ROTONDA,5.475,1020.0,5584.5,16.32,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1988,CUBAO - V CRUZ,14.138,1020.0,14420.76,44.14,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1989,CUBAO - V CRUZ,15.122,1020.0,15424.44,47.3,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1990,CUBAO - SSS VILLAGE,10.614,1020.0,10826.28,32.83,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1991,CUBAO - SSS VILLAGE,10.735,1020.0,10949.699999999999,33.21,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1992,CUBAO - SILANGANAN,9.76,1020.0,9955.199999999999,30.08,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1993,CUBAO - SILANGANAN,9.547,1020.0,9737.94,29.4,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1994,CUBAO - REMEDIOS,12.391,1020.0,12638.82,38.53,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1995,CUBAO - REMEDIOS,13.241,1020.0,13505.82,41.26,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1996,CUBAO - QUIAPO,9.05,1020.0,9231.0,27.8,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1999,CUBAO - PARANG,8.467,1020.0,8636.34,25.93,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2000,CUBAO - PADILLA,15.954,1020.0,16273.08,49.97,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2001,CUBAO - PADILLA,16.046,1020.0,16366.92,50.27,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2002,CUBAO - MONTALBAN,21.809,1020.0,22245.18,68.78,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2003,CUBAO - MONTALBAN,19.551,1020.0,19942.019999999997,61.53,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2004,CUBAO - KALUMPANG,8.161,1020.0,8324.22,24.95,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2005,CUBAO - KALUMPANG,7.437,1020.0,7585.740000000001,22.62,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2006,CUBAO - CALUMPANG via H ROXAS,7.509,1020.0,7659.18,22.85,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2008,CRAME - SAN JUAN via PINAGLABANAN,3.112,1020.0,3174.2400000000002,8.73,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2009,CRAME - SAN JUAN via PINAGLABANAN,3.112,1020.0,3174.2400000000002,8.73,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2010,COMMONWEALTH MARKET - PABAHAY NI ERAP,11.967,1020.0,12206.34,37.17,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2011,COMMONWEALTH MARKET - PABAHAY NI ERAP,12.691,1020.0,12944.820000000002,39.5,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2012,CAMARIN - SM FAIRVIEW MALIGAYA,5.415,1020.0,5523.3,16.13,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2013,CAMARIN - SM FAIRVIEW MALIGAYA,2.821,1020.0,2877.42,7.8,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2014,CAMARIN - QMC PHILCOA,16.948,1020.0,17286.96,53.17,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2015,CAMARIN - QMC PHILCOA,18.123,1020.0,18485.460000000003,56.94,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2016,CAMARIN - NOVALICHES BAYAN,5.794,1020.0,5909.879999999999,17.35,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2017,CAMARIN - NOVALICHES BAYAN,5.665,1020.0,5778.3,16.93,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2018,CALUMPANG - KATIPUNAN,5.006,1020.0,5106.12,14.82,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2019,CALUMPANG - KATIPUNAN,4.298,1020.0,4383.96,12.54,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2020,CAINTA - CUBAO,13.541,1020.0,13811.82,42.23,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2021,CAINTA - CUBAO,11.959,1020.0,12198.18,37.15,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2022,CAINTA - ANGONO via BINANGONAN,8.698,1020.0,8871.960000000001,26.67,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2023,CAINTA - ANGONO via BINANGONAN,10.062,1020.0,10263.24,31.05,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2024,CAINTA - ANGONO (ONE WAY ONLY),8.752,1020.0,8927.04,26.85,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2025,BUENDIA LRT TAFT - MALL OF ASIA,3.075,1020.0,3136.5,8.62,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2026,BUENDIA LRT TAFT - MALL OF ASIA,3.075,1020.0,3136.5,8.62,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2027,BUENDIA LRT TAFT - GUADALUPE,7.289,1020.0,7434.78,22.15,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2028,BUENDIA LRT TAFT - GUADALUPE,5.494,1020.0,5603.88,16.38,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2029,BUENDIA LRT - SM MOA,4.571,1020.0,4662.42,13.42,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2030,BUENDIA LRT - SM MOA,4.571,1020.0,4662.42,13.42,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2031,BUENDIA KALAYAAN - F BONIFACIO,7.064,1020.0,7205.28,21.43,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2032,BUENDIA KALAYAAN - F BONIFACIO,5.162,1020.0,5265.24,15.32,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2033,BONI - STOP N SHOP,6.823,1020.0,6959.46,20.65,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2034,BONI - STOP N SHOP,6.896,1020.0,7033.92,20.89,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2035,BONI - KALENTONG,3.655,1020.0,3728.1,10.48,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2036,BONI - KALENTONG,5.022,1020.0,5122.4400000000005,14.87,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2037,BLUMENTRITT - REMEDIOS via QUIAPO,6.441,1020.0,6569.82,19.43,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2038,BLUMENTRITT - REMEDIOS via QUIAPO,6.829,1020.0,6965.58,20.67,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2039,BLUMENTRITT - QUIAPO,3.207,1020.0,3271.14,9.04,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2040,BLUMENTRITT - QUIAPO,3.804,1020.0,3880.08,10.96,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2041,BLUMENTRITT - PUC,7.561,1020.0,7712.22,23.02,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2042,BLUMENTRITT - PUC,7.902,1020.0,8060.04,24.12,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2043,BLUMENTRITT - PIER SOUTH via STA CRUZ,4.852,1020.0,4949.04,14.32,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2044,BLUMENTRITT - PIER SOUTH via STA CRUZ,5.222,1020.0,5326.4400000000005,15.51,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2045,BLUMENTRITT - PASAY RTDA via STA CRUZ L GUINTO,9.893,1020.0,10090.86,30.51,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2046,BLUMENTRITT - PASAY RTDA via STA CRUZ L GUINTO,10.105,1020.0,10307.1,31.19,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2047,BLUMENTRITT - PASAY RTDA via QUIAPO,10.291,1020.0,10496.82,31.79,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2048,BLUMENTRITT - PASAY RTDA via QUIAPO,10.392,1020.0,10599.84,32.11,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2049,BLUMENTRITT - PASAY RTDA via MABINI,10.072,1020.0,10273.439999999999,31.09,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2050,BLUMENTRITT - PASAY RTDA via MABINI,10.476,1020.0,10685.52,32.38,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2051,BLUMENTRITT - P CAMPA via DIMASALANG DELOS REYES,2.239,1020.0,2283.7799999999997,5.93,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2052,BLUMENTRITT - P CAMPA via DIMASALANG DELOS REYES,2.239,1020.0,2283.7799999999997,5.93,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2053,BLUMENTRITT - NOVALICHES,9.633,1020.0,9825.66,29.68,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2054,BLUMENTRITT - NOVALICHES,13.246,1020.0,13510.92,41.28,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2055,BLUMENTRITT - LIBERTAD via MABINI,8.941,1020.0,9119.820000000002,27.45,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2056,BLUMENTRITT - LIBERTAD via MABINI,9.342,1020.0,9528.84,28.74,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2057,BLUMENTRIT - BALUT,1.809,1020.0,1845.1799999999998,4.55,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2058,BLUMENTRIT - BALUT,1.725,1020.0,1759.5,4.28,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2059,BERNARDINO - DELPAN,3.776,1020.0,3851.52,10.87,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2060,BERNARDINO - DELPAN,4.636,1020.0,4728.72,13.63,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2061,BEL AIR - WASHINGTON,3.075,1020.0,3136.5,8.62,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2062,BEL AIR - WASHINGTON,2.956,1020.0,3015.12,8.23,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2064,BALUT - DIVISORIA,3.15,1020.0,3213.0,8.86,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2065,BAGONG SILANG KALIWA - ROBINSONS FAIRVIEW via ZABARTE,6.799,1020.0,6934.9800000000005,20.57,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2066,BAGONG SILANG KALIWA - ROBINSONS FAIRVIEW via ZABARTE,6.814,1020.0,6950.28,20.62,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2067,BAGONG SILANG - SM FAIRVIEW via MALIGAYA PARK,6.819,1020.0,6955.38,20.64,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2068,BAGONG SILANG - SM FAIRVIEW via MALIGAYA PARK,7.097,1020.0,7238.9400000000005,21.53,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2069,BAGONG SILANG - NOVALICHES,6.55,1020.0,6681.0,19.78,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2070,BAGONG SILANG - NOVALICHES,6.906,1020.0,7044.12,20.92,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2071,BACLARAN - ZAPOTE BACOOR,9.27,1020.0,9455.4,28.51,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2072,BACLARAN - ZAPOTE BACOOR,9.27,1020.0,9455.4,28.51,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2073,BACLARAN - SUCAT SSH via NINOY AQUINO AVE,12.897,1020.0,13154.94,40.16,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2074,BACLARAN - SUCAT SSH via NINOY AQUINO AVE,12.921,1020.0,13179.42,40.23,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2075,BACLARAN - QUIAPO,9.046,1020.0,9226.92,27.79,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2076,BACLARAN - QUIAPO,6.103,1020.0,6225.0599999999995,18.34,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
