route_id,route_long_name,avg_headway_min,daily_service_window_hrs,trips_per_day_estimate,weekday_frequency_rows,frequency_source
LTFRB_PUJ1105,Bagong Barrio - G. De Jesus/EDSA,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1106,Bagong Barrio - G. De Jesus/EDSA,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1107,Bagong Nayon II - Marikina Town,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1108,Bagong Nayon II - Marikina Town,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1109,Bagumbayan (Taguig) - Pasig (TP) via San Joaquin,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1110,Bagumbayan (Taguig) - Pasig (TP) via San Joaquin,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1111,Brgy. Bagong Silangan - Marcos Rd. via Sampaguita Road,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1112,Brgy. Bagong Silangan - Marcos Rd. via Sampaguita Road,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1113,Bagumbayan (Taguig) - Sucat,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1114,Bagumbayan (Taguig) - Sucat,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1116,Bagong Silang - Novaliches (TP) via Susano,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1117,Bagong Silang - Robinson's Fairview via Zabarte Rd.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1118,Bagong Silang - Robinson's Fairview via Zabarte Rd.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1121,Balic - Balic - Bustillos via G. Tuazon,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1122,Balic - Balic - Bustillos via G. Tuazon,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1123,Balic - Balic - Espana/M. Dela Fuente,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1124,Balic - Balic - Espana/M. Dela Fuente,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1125,Balic - Balic - Quiapo (Barbosa) via Lepanto,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1128,Balic - Balic (Galas) - Quiapo (Barbosa) via Lepanto,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1129,Balete Drive/E. Rodriguez Loop Service,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1130,Balintawak - Blumentritt,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1131,Balintawak - Blumentritt,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1132,Balintawak - Camarin via Susano,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1133,Balintawak - Camarin via Susano,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1134,Balintawak - Frisco,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1135,Balintawak - Frisco,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1136,Balintawak - Lagro via Novaliches,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1137,Balintawak - Lagro via Novaliches,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
