route_id,corridor_cluster_id,corridor_type_label,cluster_distance,cluster_outlier_flag,typology_pca_x,typology_pca_y,clustering_model_version,typology_claim_status
LTFRB_PUJ1973,1,High-Stop-Density Core,1.1234,False,-1.6849,0.2247,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1974,0,Long Regional Connector,0.9466,False,0.7571,1.1349,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1975,0,Long Regional Connector,1.0225,False,0.9239,1.2071,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1978,1,High-Stop-Density Core,1.213,False,-0.8073,0.1326,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1979,1,High-Stop-Density Core,0.9999,False,-0.816,0.3317,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1980,1,High-Stop-Density Core,0.7437,False,-1.5924,0.5917,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1981,1,High-Stop-Density Core,0.6983,False,-1.6112,0.6083,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1982,2,Dense Urban Trunk,0.6696,False,2.7214,0.1662,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1983,2,Dense Urban Trunk,0.7249,False,3.1199,0.1889,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1984,0,Long Regional Connector,0.5168,False,1.1326,0.1846,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1985,0,Long Regional Connector,0.6764,False,1.2344,0.1561,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1986,1,High-Stop-Density Core,1.5269,False,-0.8487,0.7653,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1987,1,High-Stop-Density Core,1.5269,False,-0.8487,0.7653,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1988,0,Long Regional Connector,1.2387,False,1.7837,0.834,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1989,0,Long Regional Connector,1.5708,False,2.0391,0.8801,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1990,0,Long Regional Connector,1.0059,False,0.3177,-0.4022,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1991,0,Long Regional Connector,1.0872,False,0.3615,-0.4214,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1992,0,Long Regional Connector,1.0305,False,0.2605,-0.3359,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1993,0,Long Regional Connector,1.0718,False,0.2242,-0.3251,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1994,0,Long Regional Connector,1.1642,False,1.4799,1.0753,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1995,0,Long Regional Connector,1.2757,False,1.6499,1.034,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1996,0,Long Regional Connector,0.8992,False,0.5127,1.0959,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1999,0,Long Regional Connector,1.0736,False,-0.1209,0.1216,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2000,2,Dense Urban Trunk,1.7944,False,2.1445,-1.6253,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2001,2,Dense Urban Trunk,1.7764,False,2.1686,-1.6292,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2002,2,Dense Urban Trunk,1.0953,False,3.6349,-0.902,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2003,2,Dense Urban Trunk,0.6241,False,2.9761,-0.6153,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2004,1,High-Stop-Density Core,1.8623,False,-0.6086,-0.7417,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2005,1,High-Stop-Density Core,1.5401,False,-0.7906,-0.7798,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2006,1,High-Stop-Density Core,1.5875,False,-0.7697,-0.7914,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2008,1,High-Stop-Density Core,2.6472,False,-1.8876,-0.4331,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2009,1,High-Stop-Density Core,2.6472,False,-1.8876,-0.4331,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2010,0,Long Regional Connector,1.8679,False,1.0489,0.1772,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2011,0,Long Regional Connector,1.8059,False,1.1557,0.1596,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2012,1,High-Stop-Density Core,1.7926,False,-1.4531,-0.0176,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2013,1,High-Stop-Density Core,1.0982,False,-1.9706,0.5736,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2014,2,Dense Urban Trunk,0.757,False,2.4298,0.0305,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2015,2,Dense Urban Trunk,0.6238,False,2.725,-0.025,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2016,1,High-Stop-Density Core,1.2346,False,-1.0522,-0.439,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2017,1,High-Stop-Density Core,1.1663,False,-1.0785,-0.4271,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2018,3,Local Feeder,1.5402,False,-1.5793,-1.7821,typology-v1-f9da2ebe,ML_ESTIMATED
