route_id,geometry_source,endpoint_distance_km,geometry_detour_ratio,duplicate_stop_fraction,max_consecutive_stop_gap_km,geometry_valid,self_intersection_flag,geometry_reliability_score,geometry_reliability_grade,geometry_reliability_reasons,geometry_validation_required,geometry_claim_status
LTFRB_PUJ1150,stop_sequence_approx,8.682,1.221,0.0,0.338,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1151,stop_sequence_approx,8.682,1.21,0.0,0.334,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1152,stop_sequence_approx,22.817,1.242,0.0,0.541,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1153,stop_sequence_approx,22.817,1.257,0.0,0.541,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1154,stop_sequence_approx,19.934,1.13,0.0,0.48,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1155,stop_sequence_approx,19.934,1.135,0.0,0.48,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1156,stop_sequence_approx,15.811,1.947,0.0667,0.651,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1157,stop_sequence_approx,15.811,1.868,0.053,0.48,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1159,stop_sequence_approx,2.019,1.207,0.0,0.266,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1160,stop_sequence_approx,4.064,1.181,0.0,0.325,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1161,stop_sequence_approx,4.064,1.186,0.0,0.332,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1162,stop_sequence_approx,1.463,1.789,0.0,0.37,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
