route_id,route_long_name,corridor_type_label,phase1_selected,daily_vkt,fleet_size_proxy,charger_count_proxy,vehicle_capex_proxy_php,charger_capex_proxy_php,total_capex_proxy_php,fleet_proxy_claim_status,vehicle_cost_claim_status,charger_cost_claim_status,financing_claim_status,feasibility_source_ids,feasibility_method_version
LTFRB_PUJ1932,IBP ROAD - LUPANG PANGAKO GRAVEL FIT ROAD,High-Stop-Density Core,False,3707.7,31,2,77500000.0,1000000.0,78500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1933,IBP ROAD - LUPANG PANGAKO GRAVEL FIT ROAD,High-Stop-Density Core,False,3707.7,31,2,77500000.0,1000000.0,78500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1708,MUNOZ-VISAYAS AVE,High-Stop-Density Core,False,3337.44,28,2,70000000.0,1000000.0,71000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1709,MUNOZ-VISAYAS AVE,High-Stop-Density Core,False,3337.44,28,2,70000000.0,1000000.0,71000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1827,ALABANG - BALIBAGO,Dense Urban Trunk,False,16969.74,142,8,355000000.0,4000000.0,359000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2182,Blumentrit Vito Cruz via L Guinto Sta C,High-Stop-Density Core,False,7452.12,63,4,157500000.0,2000000.0,159500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2524,Libertad-PCampa,High-Stop-Density Core,False,6737.1,57,3,142500000.0,1500000.0,144000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1491,"FTI - Uniwide Coastal Mall via VAB, NAB",High-Stop-Density Core,False,11810.58,99,5,247500000.0,2500000.0,250000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2070,BAGONG SILANG - NOVALICHES,High-Stop-Density Core,False,7044.12,59,3,147500000.0,1500000.0,149000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1414,Libertad - Pasay Rd.,High-Stop-Density Core,False,5148.96,43,3,107500000.0,1500000.0,109000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1928,KALENTONG JRC - P. VICTORINO via P CRUZ,High-Stop-Density Core,False,4848.06,41,3,102500000.0,1500000.0,104000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1014,Alabang - Baclaran via Ninoy Aquino,Dense Urban Trunk,False,13737.36,115,6,287500000.0,3000000.0,290500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
