route_id,historic_daily_vehicle_km_proxy,ml_service_intensity_prediction,ml_model_version,ml_model_meaningful_vs_baseline,daily_vkt,service_intensity_source,service_intensity_claim_status,ml_service_intensity_used,electrified_vkt_low,diesel_liters_avoided_low,electricity_kwh_day_low,baseline_co2e_kg_day_low,grid_co2e_kg_day_low,net_co2e_avoided_kg_day_low,net_co2e_avoided_t_year_low,electrified_vkt_base,diesel_liters_avoided_base,electricity_kwh_day_base,baseline_co2e_kg_day_base,grid_co2e_kg_day_base,net_co2e_avoided_kg_day_base,net_co2e_avoided_t_year_base,electrified_vkt_high,diesel_liters_avoided_high,electricity_kwh_day_high,baseline_co2e_kg_day_high,grid_co2e_kg_day_high,net_co2e_avoided_kg_day_high,net_co2e_avoided_t_year_high,climate_impact_score,climate_assumption_set,impact_is_scenario_not_measurement,climate_claim_status,climate_source_ids,grid_kgco2e_per_kwh_current,grid_kgco2e_per_kwh_low,grid_kgco2e_per_kwh_base,grid_kgco2e_per_kwh_high,operating_days_per_year,electrification_share_low,electrification_share_base,electrification_share_high
LTFRB_PUJ1024,14656.38,14383.308,service-v1-266e0b1d,True,14656.38,historic_gtfs_service_activity_proxy,DERIVED,False,4396.914,732.819,5129.733,1963.955,3683.661,-1719.706,-515.912,7328.19,1465.638,6106.825,3927.91,3358.754,569.156,170.747,10259.466,2564.866,6269.674,6873.842,2194.386,4679.456,1403.837,44.88,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1025,6153.660000000001,6223.109,service-v1-266e0b1d,True,6153.660000000001,historic_gtfs_service_activity_proxy,DERIVED,False,1846.098,307.683,2153.781,824.59,1546.63,-722.04,-216.612,3076.83,615.366,2564.025,1649.181,1410.214,238.967,71.69,4307.562,1076.89,2632.399,2886.067,921.34,1964.727,589.418,18.11,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1026,6153.660000000001,6223.109,service-v1-266e0b1d,True,6153.660000000001,historic_gtfs_service_activity_proxy,DERIVED,False,1846.098,307.683,2153.781,824.59,1546.63,-722.04,-216.612,3076.83,615.366,2564.025,1649.181,1410.214,238.967,71.69,4307.562,1076.89,2632.399,2886.067,921.34,1964.727,589.418,18.11,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1028,6105.719999999999,6300.928,service-v1-266e0b1d,True,6105.719999999999,historic_gtfs_service_activity_proxy,DERIVED,False,1831.716,305.286,2137.002,818.166,1534.581,-716.415,-214.924,3052.86,610.572,2544.05,1636.333,1399.227,237.105,71.132,4274.004,1068.501,2611.891,2863.583,914.162,1949.421,584.826,17.96,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1029,8257.92,8163.544,service-v1-266e0b1d,True,8257.92,historic_gtfs_service_activity_proxy,DERIVED,False,2477.376,412.896,2890.272,1106.561,2075.504,-968.943,-290.683,4128.96,825.792,3440.8,2213.123,1892.44,320.683,96.205,5780.544,1445.136,3532.555,3872.964,1236.394,2636.57,790.971,24.74,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1030,8296.68,8376.091,service-v1-266e0b1d,True,8296.68,historic_gtfs_service_activity_proxy,DERIVED,False,2489.004,414.834,2903.838,1111.755,2085.246,-973.491,-292.047,4148.34,829.668,3456.95,2223.51,1901.322,322.188,96.656,5807.676,1451.919,3549.135,3891.143,1242.197,2648.946,794.684,24.86,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1031,8596.560000000001,8820.651,service-v1-266e0b1d,True,8596.560000000001,historic_gtfs_service_activity_proxy,DERIVED,False,2578.968,429.828,3008.796,1151.939,2160.616,-1008.677,-302.603,4298.28,859.656,3581.9,2303.878,1970.045,333.833,100.15,6017.592,1504.398,3677.417,4031.787,1287.096,2744.691,823.407,25.81,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1033,11763.66,11765.748,service-v1-266e0b1d,True,11763.66,historic_gtfs_service_activity_proxy,DERIVED,False,3529.098,588.183,4117.281,1576.33,2956.619,-1380.289,-414.087,5881.83,1176.366,4901.525,3152.661,2695.839,456.822,137.047,8234.562,2058.64,5032.232,5517.157,1761.281,3755.875,1126.763,35.78,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1034,14765.52,14687.093,service-v1-266e0b1d,True,14765.52,historic_gtfs_service_activity_proxy,DERIVED,False,4429.656,738.276,5167.932,1978.58,3711.092,-1732.512,-519.754,7382.76,1476.552,6152.3,3957.159,3383.765,573.394,172.018,10335.864,2583.966,6316.361,6925.029,2210.726,4714.302,1414.291,45.23,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1035,3719.94,3851.513,service-v1-266e0b1d,True,3719.94,historic_gtfs_service_activity_proxy,DERIVED,False,1115.982,185.997,1301.979,498.472,934.951,-436.479,-130.944,1859.97,371.994,1549.975,996.944,852.486,144.458,43.337,2603.958,650.99,1591.308,1744.652,556.958,1187.694,356.308,10.45,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
